Antike und Abendland	A&A 
Belleten. Türk tarih kurumu	Belleten
O. Benndorf and O. Schöne, Die antiken Bildwerke des Lateranensischen Museums (Leipzig 1867)	Benndorf-Schöne
Bulletin d'études orientales [Damascus]	BÉO
Berliner Jahrbuch für Vor- und Frühgeschichte	BerlJV
Berliner Museen. Berichte aus den preussischen Kunstsammlungen	BerlMus
Berliner numismatische Zeitschrift	BerlNumZ
Bericht der Römisch-Germanischen Kommission	BerRGK
Berytus. Archaeological Studies	Berytus
Bulletin of the Fogg Art Museum	BFAM
Bollettino di filologia classica	BFC
Izvestija na Arheologiceskija institut. Bulletin de l'Institut archéologique bulgare	BIABulg
Bulletin of the Institute of Archaeology of the University of London	BIALond
Bibliotheca archaeologica [Rome]	BibAr
Bibliotheca mesopotamica	BibM
Bibliotheca orientalis	BibO
Bulletin of the Institute of Classical Studies of the University of London	BICS
Bulletin de l'Institut d'Égypte	BIÉ
Bulletin of the Israel Exploration Society	BIES
Bulletin de l'Institut français d'archéologie orientale de Caire	BIFAO
Bulletin de l'Institut historique belge de Rome	BIHBelge
Bulletin of the Iranian Institute	BIranInst
Bonner Jahrbücher des rheinischen Landesmuseums in Bonn und des Vereins von Altertumsfreunden im Rheinlande	BJb
Bulletin of the Jewish Palestine Exploration Society	BJPES
Bulletin de la Société royale de lettres de Lund	BLund
Catalogue of the Greek Coins in the British Museum (London 1873– )	BMC
Bryn Mawr Classical Review [online]	BMCR
Coins of the Roman Empire in the British Museum (London 1923– )	BMCRE
H.A. Grueber, Coins of the Roman Republic in the British Museum (London 1910)	BMCRR
Bulletin des Musées de France	BMF
Bulletin of the Museum of Fine Arts, Boston	BMFA
Bulletin of the Museum of Far Eastern Antiquities	BMFEA
Bulletin of the Metropolitan Museum of Art, New York	BMMA
Bulletin monumental	BMon
Bollettino dei monumenti, musei e gallerie Pontificie	BMonMusPont
British Museum Occasional Paper	BMOP
British Museum Quarterly	BMQ
Bulletin du Musée de Beyrouth	BMusBeyr
Bulletin des Musées royaux d'art et d'histoire, Bruxelles	BMusBrux
Bulletin du Musée hongrois des beaux-arts	BMusHongr
Bullettino del Museo dell'impero romano	BMusImp
Museen in Köln. Bulletin	BMusKöln
The British Museum Yearbook	BMY
Bulletin de numismatique	BNum
Bulletin de l'Office internationale des Instituts d'archéologie et d'histoire de l'art	BOffInt
Bolletino dei Musei comunali di Roma	BollMC
Bulletin trimestriel des antiquités africaines recueillés par les soins de la Société de géographie et d'archéologie de la Province d'Oran	BOran
Boreas. Münstersche Beiträge zur Archäologie	Boreas
Bollettino di paleontologia italiana	BPI
Berliner philologische Wochenschrift	BPW
H. Brunn, Denkmäler griechischer und römischer Sculptur in historischer Anordnung (Munich: Bruckmann, 1888–1911)	BrBr
Britannia. A Journal of Romano-British and Kindred Studies	Britannia
Brooklyn Museum Quarterly	BrookMusQ
Annual of the British School at Athens	BSA
British School of Archaeology in Egypt, Publications	BSAE
Bulletin of the School of Oriental and African Studies	BSOAS
Bulletin de la Société archéologique bulgare	BSocBulg
Bulletin of the School of Oriental Studies	BSOS
Bulletin de la Société préhistorique franĉaise	BSPF
Bulletin de la Société royale d'archéologie d'Alexandrie	BSRAA
Bollettino dell'Associazione internazionale degli studi mediterranei	BStM
Bulletin d'information de l'Association internationale pour l'étude de la mosaïque antique	BullAIEMA
Bullettino della Commissione archeologica Comunale di Roma	BullCom
Bullettino della Commissione archeologica del Governatorato di Roma	BullGov
Académie roumaine, Bulletin de la section historique	BullRoum
Bulletin international de l'Académie yugoslave [Zagreb]	BullZagreb
The Burlington Magazine	BurlMag
Winckelmannsprogramm der archäologischen Gesellschaft zu Berlin	BWPr
Byzantion. Revue internationale des études byzantines	Byzantion
Byzantinisches Archiv	ByzArch
Byzantinische Zeitschrift	ByzZeit
The Assyrian Dictionary of the Oriental Institute of the University of Chicago	CAD
Caesaraugusta. Publicaciones del Seminario de arqueología y numismática	Caesaraugusta
The Joint Expedition to Caesarea Maritima, Excavation Reports	CaesMarit
Congrès archéologique de France	CAF
Carte archéologique de la Gaule	CAG
Cambridge Ancient History	CAH 
Cahiers archéologiques	CahArch
Cahiers d'archéologie subaquatique	CahArchSubaq
Cahiers d'art	CahArt
Cahiers de Byrsa	CahByrsa
Cahiers des études anciennes	CahÉtAnc
Cahiers d'histoire et d'archéologie	CahHistArch
Cahiers numismatiques	CahNum
Cahiers rhodaniens	CahRhod
Cahiers techniques de l'art	CahTech
Cahiers de Tunisie	CahTun
Cambridge Archaeological Journal	CAJ
Civilizations of the Ancient Near East	CANE
